len_title,len_abstract,num_authors,num_conflicts,num_tags,num_ivy_conflicts,num_big_four_conflicts,num_keywords_abstract,num_keywords_title,num_pages,num_sections,decision
10,127,4,2,1,0,0,2,0,11,9,Not Accept
7,95,2,1,2,0,0,1,0,11,8,Accept
3,250,6,2,2,0,0,1,0,15,12,Accept
4,147,2,2,3,0,0,1,0,15,15,Accept
7,158,2,3,1,0,0,1,0,14,10,Accept
9,178,6,1,2,0,1,0,0,11,4,Not Accept
10,182,5,4,3,0,0,1,0,14,11,Accept
3,134,4,1,2,0,0,2,0,12,4,Accept
4,138,5,2,3,0,1,1,0,13,12,Accept
3,107,1,1,3,0,0,1,0,11,6,Not Accept
5,111,5,3,1,0,0,2,0,11,7,Not Accept
7,150,2,2,1,0,0,1,0,10,9,Not Accept
11,175,2,1,2,0,0,0,0,12,7,Not Accept
10,94,2,2,1,0,0,1,0,10,4,Not Accept
7,155,3,1,1,0,0,1,0,17,12,Accept
4,230,4,2,1,0,0,2,0,13,15,Not Accept
6,350,5,5,1,0,0,3,0,11,9,Accept
8,76,3,4,1,0,0,1,0,20,10,Not Accept
2,164,4,3,2,0,0,1,0,15,17,Accept
4,104,5,2,3,0,1,1,0,11,12,Not Accept
8,91,2,1,2,0,0,1,0,10,9,Not Accept
8,156,3,1,3,0,0,0,0,17,13,Not Accept
3,129,7,1,4,0,0,0,0,18,4,Accept
3,173,4,3,4,0,1,0,0,12,8,Accept
8,152,2,1,2,0,0,2,0,10,6,Not Accept
11,219,1,1,3,0,0,1,0,16,10,Not Accept
5,115,7,1,2,0,0,0,0,13,4,Not Accept
5,193,5,3,2,0,0,0,0,13,9,Accept
9,194,4,2,2,0,0,2,0,19,17,Not Accept
17,158,5,4,3,0,0,0,0,18,7,Accept
12,121,3,1,1,0,0,0,0,10,7,Not Accept
3,114,3,1,3,0,0,0,0,14,13,Accept
10,166,8,2,2,0,0,1,0,12,10,Accept
4,152,3,2,4,0,0,0,0,15,12,Accept
4,164,3,2,1,0,1,0,0,15,12,Accept
11,91,2,2,1,0,0,2,0,12,4,Accept
3,85,5,2,2,0,0,2,0,13,12,Accept
10,203,3,3,3,0,0,1,0,10,7,Not Accept
7,209,4,2,1,0,0,0,0,14,10,Not Accept
9,121,6,1,3,0,0,1,0,12,7,Not Accept
10,171,3,9,1,0,0,1,0,12,8,Not Accept
11,204,3,1,3,0,0,2,0,14,8,Accept
3,89,4,3,1,0,0,0,0,16,4,Not Accept
5,129,5,1,2,0,0,0,0,13,11,Accept
7,166,2,2,2,0,0,0,0,15,4,Not Accept
4,131,4,1,2,0,0,1,0,15,11,Accept
2,152,4,5,3,0,0,0,0,15,11,Not Accept
5,158,6,4,3,0,0,1,1,13,8,Not Accept
5,104,5,4,4,0,0,2,0,20,16,Accept
4,125,3,1,1,1,0,1,0,13,11,Accept
9,162,5,2,1,0,0,3,0,16,11,Accept
10,91,2,2,3,0,0,1,0,10,4,Accept
8,171,6,1,1,0,0,0,0,10,7,Not Accept
6,201,4,2,3,0,1,1,0,10,4,Accept
7,124,3,5,3,0,0,2,0,11,9,Accept
8,177,4,5,2,0,0,1,0,10,9,Accept
